Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja.1,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit,Unnamed: 0
KEBUN TEBU,23.000.000,420.000.000,5,2013,?pm=n7PP4sYAFbAd/5u2e/WuuQ==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Tinggi,"Rp. 23.000.000,00 Juta","Rp. 420.000.000,00 Juta",100 %/Tahun,"Rp. 6,00 Juta","Rp. 106,00 Juta",8,
Kelapa,11,148,2,2011,?pm=O09U8QKrQ/M2Ko0vEaGksA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 11,00 Juta","Rp. 148,00 Juta",30 %/Tahun,"Rp. 3,00 Juta","Rp. 9,00 Juta",4,
KERAMBA,9,144,1,2011,?pm=zLHpXt5tq1BRf1KUdUZ5GA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 9,00 Juta","Rp. 144,00 Juta",80 %/Tahun,"Rp. 5,00 Juta","Rp. 150,00 Juta",5,
KERAMBA,10,120,1,2011,?pm=lv91cYcQxWy15TOGggJjyw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 10,00 Juta","Rp. 120,00 Juta",40 %/Tahun,"Rp. 5,00 Juta","Rp. 50,00 Juta",4,
KERAMBA,16,120,1,2011,?pm=VlDVBNeQyXNIBzn9HM61/A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 16,00 Juta","Rp. 120,00 Juta",70 %/Tahun,"Rp. 5,00 Juta","Rp. 0,00 Juta",4,
KERAMBAH APUNG,100,20.4,1,2013,?pm=95GNFZqmX2AhK4EVz82a/w==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Tinggi,"Rp. 100,00 Juta","Rp. 20.400,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",2,
Kolam Ikan,156,78,1,2009,?pm=Yzsh37A4dWeSWciVZiBEQQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 156,00 Juta","Rp. 78,00 Juta",10 %/Tahun,"Rp. 4,00 Juta","Rp. 156,00 Juta",10,
Kolam Mujaer Dotamana,0,0,4,2012,?pm=gaaE17syPOR5BFwsiavWHg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4.0,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 0,00 Juta","Rp. 0,00 Juta",0 %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",6,
Kolam Pancing,345,48,1,2014,?pm=zWbDfN00lCBQI3YfvJIGWg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 345,00 Juta","Rp. 48,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",6,
"KOPI,KOL,SENGON",200.600.000,60,3,2013,?pm=uIksPzR7S9/O4jv2b4Hwuw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3.0,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 200.600.000,00 Juta","Rp. 60.000,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 350,00 Juta",4,
Koprah,"20,5","86,4",5,2011,?pm=tq2zUWvCwpDxBRJd96LByw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Usaha Dagang (UD),5.0,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 20,50 Juta","Rp. 86,40 Juta",30 %/Tahun,"Rp. 10,00 Juta","Rp. 25,00 Juta",5,
Kpetani Karet,51,26,1,2012,?pm=uqIIuZWKjRvH+NGOwbqiNA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 51,00 Juta","Rp. 26,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 50,00 Juta",2,
Krecek Krupuk,"275,28","102,4",12,2009,?pm=iWz8imGBw81btBKhrH31aQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,12.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 275,28 Juta","Rp. 102,40 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 130,00 Juta",5,
Lembu,51,300,1,2011,?pm=2Qr/0YHGfJaKzf5BSmbamg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   0,00 %",Sedang,"Rp. 51,00 Juta","Rp. 300,00 Juta",30 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",3,
Madu Lebah,18,60,2,2014,?pm=Rq4O+XRFnyWex+w28QvA6g==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 18,00 Juta","Rp. 60,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",5,
,0,0,3,2012,?pm=sd7H8zs1JwcH9OK/NhaZjg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 0,00 Juta","Rp. 0,00 Juta",0 %/Tahun,"Rp. 10,00 Juta","Rp. 200,00 Juta",5,
Nasi Gemuk,"2,5",90,1,2014,?pm=RBXEaVzrS8/QlB6j8xCikw==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 2,50 Juta","Rp. 90,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",4,
Nelayan,91,24,1,2012,?pm=vvWM2D9ZTqgocCietNUfRA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 91,00 Juta","Rp. 24,00 Juta",20 %/Tahun,"Rp. 2,00 Juta","Rp. 90,00 Juta",4,
Nelayan,47,48,2,2012,?pm=HSmDhrSmC4u2ctpJikOWMA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 47,00 Juta","Rp. 48,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 45,00 Juta",4,
Nelayan,32,62,1,2012,?pm=+pF0WEFbHsTKVg1GMCee8A==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 32,00 Juta","Rp. 62,00 Juta",20 %/Tahun,"Rp. 3,00 Juta","Rp. 35,00 Juta",1,
Nelayan,37,46,1,2012,?pm=u7GuNeBJx3Lp48u8ShYuVw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 37,00 Juta","Rp. 46,00 Juta",20 %/Tahun,"Rp. 2,00 Juta","Rp. 35,00 Juta",4,
Nelayan,162,285,28,2011,?pm=zkP2kGEPKZiF+uww8EXClg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,28.0,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 162,00 Juta","Rp. 285,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 305,00 Juta",7,
NELAYAN,35,124,2,2012,?pm=F+FM8su91cRKvWit4y00Og==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 35,00 Juta","Rp. 124,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 34,00 Juta",5,
NELAYAN,34,124,1,2012,?pm=et9GF+6wo84uUcL45NrXdw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 34,00 Juta","Rp. 124,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 33,00 Juta",6,
NELAYAN,135,80,1,2012,?pm=V+IYIrniZx6cRDetFT5rQQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 135,00 Juta","Rp. 80,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 129,00 Juta",7,
Nelayan Ikan,111,28,2,2012,?pm=L0hq/svcv8iFKNpP/7U5dw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 111,00 Juta","Rp. 28,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 110,00 Juta",3,
Nelayan Pukat,71,50,1,2012,?pm=MNWbYh/4QPIM/T4jiJUmCQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 71,00 Juta","Rp. 50,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 70,00 Juta",4,
Nelayan Tangkap,391,"184,2",20,2016,?pm=AYXfoJ9UMxTZU1D2YQtrYw==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",-,20.0,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 391,00 Juta","Rp. 184,20 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 389,00 Juta",9,
Nelayan Tangkap,"572,8",26,22,2016,?pm=V0Pw1AviBlsRaod9C5ijLA==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,22.0,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 572,80 Juta","Rp. 26,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 469,00 Juta",6,
Nelayan Udang Mantis,"456,8",96,20,2016,?pm=KjjwUIxRjM6N3WA9FOGgpQ==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,20.0,Distributor,"Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %",Rendah,"Rp. 456,80 Juta","Rp. 96,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 449,00 Juta",8,
PADI,70,192,6,2011,?pm=kgO2V5CocsgXZADwq2QGrw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,6.0,Retail dan Distributor,"Tidak Ada   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 70,00 Juta","Rp. 192,00 Juta",5 %/Tahun,"Rp. 0,00 Juta","Rp. 50,00 Juta",6,
Pakan Ternak,9,84,1,2011,?pm=7QOpF9Gp7XoQSQasVhs3Yw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 9,00 Juta","Rp. 84,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 9,00 Juta",3,
Pakan Ternak,"135,7",456,5,2009,?pm=IuIxLSDbVgssd+jafBN6Fw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 135,70 Juta","Rp. 456,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",-,
"Pakan Ternak, Puyuh, Ayam Dan Itik",2.213.000.000,48.000.000,3,2012,?pm=SxlgOi1jHPTidIg1a/KArg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3.0,Retail dan Distributor,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 2.213.000.000,00 Juta","Rp. 48.000.000,00 Juta",30 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",7,
Pedagang,10,"133,75",1,2011,?pm=5vcpeT+gRRglVRffyJ+79Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 10,00 Juta","Rp. 133,75 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",4,
Pedagang Ikan,"12,5","148,75",1,2011,?pm=rFnsjtF80hQQp6aKenV18Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 12,50 Juta","Rp. 148,75 Juta",15 %/Tahun,"Rp. 8,50 Juta","Rp. 13,00 Juta",5,
Pedagang Ikan ,"22,15","59,31",1,2016,?pm=4iKarirFhKL88+WTw1ZRnw==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 22,15 Juta","Rp. 59,31 Juta",- %/Tahun,"Rp. 6,55 Juta","Rp. 1,70 Juta",4,
Pedagang Ikan ,"22,45","59,31",1,2016,?pm=ymD5aID18urzpjpq0g18cQ==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 22,45 Juta","Rp. 59,31 Juta",- %/Tahun,"Rp. 6,55 Juta","Rp. 100,00 Juta",5,
Pembesaran Ikan Nila,3.368,7,1,2012,?pm=+JFnDgVpk1FbmczDyVzjtQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 3.368,00 Juta","Rp. 7.000,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 18,00 Juta",6,
Pembesaran Ikan Nila,2.361,7.2,1,2012,?pm=bQQ6HyJl8PDxzWLuiziMXQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 2.361,00 Juta","Rp. 7.200,00 Juta",25 %/Tahun,"Rp. 5,00 Juta","Rp. 16,00 Juta",1,
Pembesaran Lele,1.03,1.452,1,2012,?pm=z+hXroq6PHUUTKh8d5eswA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 1.030,00 Juta","Rp. 1.452,00 Juta",49 %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",5,
Pembesaran Nila,2.679,4.955,1,2012,?pm=3cUPOvAp9Nn6eqSpf6DR0w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 2.679,00 Juta","Rp. 4.955,00 Juta",27 %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",5,
Pembibitan Anggrek,"44,55",240,2,2009,?pm=5by1kHiSH0X2fBcT64tIiw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 44,55 Juta","Rp. 240,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",1,
Pembibitan Ikan,428,4.596,3,2012,?pm=6QBXdNDJ5KNv1tgUFEH7rA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3.0,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 428,00 Juta","Rp. 4.596,00 Juta",40 %/Tahun,"Rp. 10,00 Juta","Rp. 10,00 Juta",5,
Pembibitan Nila,3.798,7.92,2,2012,?pm=f0YE9RBMaWtsRBw63LOdQQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 3.798,00 Juta","Rp. 7.920,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 115,00 Juta",5,
Pembibitan Pepaya,53.300.000,6,1,2011,?pm=afAijuU0UG2o/fHMnSP0bQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Tinggi,"Rp. 53.300.000,00 Juta","Rp. 6,00 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 5,00 Juta",3,
Pemborong Ikan,"17,05",15,2,2014,?pm=NyjHUfLosfE2B2mpuiXOTA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 17,05 Juta","Rp. 15,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 107,00 Juta",4,
Pembuatan Keramik,580,1.98,1,2012,?pm=VFCbeNdPQ38GApmEpjQFOQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 580,00 Juta","Rp. 1.980,00 Juta",15 %/Tahun,"Rp. 4,00 Juta","Rp. 31,00 Juta",4,
Pembuatan Keramik,940,3.54,2,2012,?pm=DoP4nDSNVvvbAhKJyr8+Tw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Sedang,"Rp. 940,00 Juta","Rp. 3.540,00 Juta",10 %/Tahun,"Rp. 1,00 Juta","Rp. 53,00 Juta",5,
Penampungan Ikan Tawar (Pepai),173,360,5,2014,?pm=VZreOoqZtjUQrZ8CZiNz4A==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5.0,Retail dan Distributor,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 173,00 Juta","Rp. 360,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 103,00 Juta",6,
Penanaman Lada,67,"59,04",1,2016,?pm=f+inK/T00Wzn6Wn3Z3pJiQ==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Tinggi,"Rp. 67,00 Juta","Rp. 59,04 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 10,00 Juta",4,
Penanaman Lada,111,"61,5",2,2016,?pm=TBpbi4waAJEjyPaLwPpqCg==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Retail,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Tinggi,"Rp. 111,00 Juta","Rp. 61,50 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 115,00 Juta",4,
PENANGKAR BIBIT KARET,34,13,2,2011,?pm=/IRDLK1wIQE4fzSuntP2VA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 34,00 Juta","Rp. 13,00 Juta",20 %/Tahun,"Rp. 6,00 Juta","Rp. 15,00 Juta",6,
Penetasan Telur Bebek,"60,3","57,96",1,2011,?pm=kYIWJlyw6f2ZqQUrNQxjMg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1.0,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 60,30 Juta","Rp. 57,96 Juta",40 %/Tahun,"Rp. 10,00 Juta","Rp. 54,00 Juta",6,
PENGASINAN IKAN,6,126,7,2012,?pm=5Qc5L5H84II89hEgXF80Jw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,7.0,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Tinggi,"Rp. 6,00 Juta","Rp. 126,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 12,00 Juta",6,
