Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Sate Solo Pak Mino,Rumah Makan Sate Solo,"14,1",149,3,2008,"['_pengusahadetail(""?pm=x741qv/+/kWAbU2vOxMSZw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Sate Solo Pak Mino"")']"
 Sate Parahyangan,Dagang sate ayam dan kambing,"201,7","37,2",3,2008,"['_pengusahadetail(""?pm=yQRzxfxKW2qRg+m9hmxBBg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Sate Parahyangan"")']"
 RM Berkah Jaya,Rumah Makan Tegal,"73,7","23,5",2,2008,"['_pengusahadetail(""?pm=NnfszpjrV/hOOB1thFNn1g==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""RM Berkah Jaya"")']"
 Kedai Jajanan Faiz,Makanan,15,120,1,2010,"['_pengusahadetail(""?pm=zT4s0bewdpSzFmMB6m2dmw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kedai Jajanan Faiz"")']"
 Warung Kelontong Saymsu,Warung Makanan/Minuman,"192,5",126,2,2011,"['_pengusahadetail(""?pm=ltmFfQ9Quwhzox93IsW5dw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Kelontong Saymsu"")']"
 Warteg Asrofil,Warung Makanan,"18,5","258,77",3,2011,"['_pengusahadetail(""?pm=NOs2EsF9+jWxptoozhEcvA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warteg Asrofil"")']"
 Warung Makan Matang Tumini,Rumah Makan,"246,25","348,48",3,2011,"['_pengusahadetail(""?pm=GMMFjSTaHg9mI3ranPuhFg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Makan Matang Tumini"")']"
 Warung Sunda Ibu Wawan,Rumah makan warung sunda,"12,4",96,2,2008,"['_pengusahadetail(""?pm=Hh93TDDvvzr/Ld7/y876pA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Sunda Ibu Wawan"")']"
 Kios Nova,Rumah Makan,6,176,2,2008,"['_pengusahadetail(""?pm=6L2dFPxzfpKZvXFImN+Hgw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Nova"")']"
 Warug Mie Asbi,Rumah Makan,3,71,1,2008,"['_pengusahadetail(""?pm=EJHimeTSlUKrb4Rc5i7v7w==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warug Mie Asbi"")']"
 Toko Husin,Rumah Makan,43,795,3,2008,"['_pengusahadetail(""?pm=lijg2fXtqzy7CttYJ0t0Mw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Toko Husin"")']"
 Toko Maria,Rumah Makan,26,365,3,2008,"['_pengusahadetail(""?pm=YAvZby/MhdkjIhQEI7bukg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Toko Maria"")']"
 Kios Apung,Rumah Makan,18,690,3,2008,"['_pengusahadetail(""?pm=u+5ObNeBdm1y2jp8Ex//qw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Apung"")']"
 Toko Jerry,Rumah Makan,43,750,3,2008,"['_pengusahadetail(""?pm=BRcnwQVJqFeQlxbl7MdUNA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Toko Jerry"")']"
 Toko Ayu,Rumah Makan,108,1.080,3,2008,"['_pengusahadetail(""?pm=cZ67frgzTcVo6Ja4jAgbww==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Toko Ayu"")']"
 Warung Pecel,Dagang Pecel dan Soto,25,108,1,2010,"['_pengusahadetail(""?pm=HXyIJBerSJSUiT9TS0IhhA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Warung Pecel"")']"
 Kantin Sekolah,Dagang Nasi Uduk dan Lain-lain,2,99,1,2010,"['_pengusahadetail(""?pm=LMyzQqG9Am8302opPRt1Zw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kantin Sekolah"")']"
 Ketoprak Karnoto,Dagang Ketoprak,3,198,1,2010,"['_pengusahadetail(""?pm=ppSwMnru9igeB/xgEXQs8g==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Ketoprak Karnoto"")']"
 Warung Mbak Laukah,Rumah makan siap saji,"8,5",160,2,2008,"['_pengusahadetail(""?pm=aM/2XyWXFBosuhdmgnkSyw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Mbak Laukah"")']"
 ES Dawet Ayu,Jual Es Dawet,8,228,4,2010,"['_pengusahadetail(""?pm=RuAQE1Q8zjh7WiZ1vWqitw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""ES Dawet Ayu"")']"
 GORENGAN,GORENGAN/MAKANAN RINGAN ,1.040,2.200,1,2013,"['_pengusahadetail(""?pm=SxxpttBLyrA527iG2o716A==&mp=fOhzApotY5QnAtxxXvjAfA=="",""GORENGAN"")']"
 RM Chicken Katsu,Dagang makanan dan minuman,"31,7",25,2,2008,"['_pengusahadetail(""?pm=hrE/Zu91qBQA3RJjB97DXg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""RM Chicken Katsu"")']"
 RM Dan Steam IO Jaya,Rumah Makan,35,"64,4",2,2013,"['_pengusahadetail(""?pm=paPSTMj24mWWXCHM+ovBTQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""RM Dan Steam IO Jaya"")']"
 Warung Makan Ratini,Warung Makan,"166,5","76,8",2,2011,"['_pengusahadetail(""?pm=GFFMXPUMtT9vBwrUK5UEwQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Makan Ratini"")']"
 Warung Makan Masni,Warung Makan,192,60,2,2011,"['_pengusahadetail(""?pm=Z78Tm84kB+S1zRNozsloBg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Makan Masni"")']"
 Romlah,Rumah Makan,"19,2",0,1,2008,"['_pengusahadetail(""?pm=yl8MUmHUAnPiAM8mO81PXg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Romlah"")']"
 Rahimah,Rumah Makan,"1,55",0,3,2008,"['_pengusahadetail(""?pm=B3i/3qxNOMZ6lTJSf1Rh8w==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Rahimah"")']"
 Witriah,Rumah Makan,"0,75",0,1,2008,"['_pengusahadetail(""?pm=wcFYuRlR34OKsY9CbM5SyA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Witriah"")']"
 Usaha Mie Ayam,Mie Ayam,"2,4",180,2,2012,"['_pengusahadetail(""?pm=fo46LDfM6x2QAm1abB1ffQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Usaha Mie Ayam"")']"
 PENGINAPAN RAHMAT ,PENGINAPAN ,1.350,92,3,2012,"['_pengusahadetail(""?pm=B5J/nct78APWNhyR0Zcuiw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""PENGINAPAN RAHMAT "")']"
 Warung Warni,Rumah Makan,"10,9",12,2,2008,"['_pengusahadetail(""?pm=FqoBbAmESOTcHcwXuIfR/g==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Warni"")']"
 Kios Maulina,Rumah Makan,"12,5",12,2,2008,"['_pengusahadetail(""?pm=VsH6Wx5uwoabdHAQ58LmPg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Maulina"")']"
 Warung Zainudin,Rumah Makan,"10,3",12,2,2008,"['_pengusahadetail(""?pm=tvFkzt4d+pQ2848PU6xY1Q==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Zainudin"")']"
 Kios Ratna,Rumah Makan,"13,8",12,2,2008,"['_pengusahadetail(""?pm=F6LUR9dN8PJ0dhY8RnEnhA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Ratna"")']"
 Kios Amalia,Rumah Makan,"10,5",12,2,2008,"['_pengusahadetail(""?pm=jRwEWpfnPFUywZf7rA6Lmw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Amalia"")']"
 Warung Zaini,Rumah Makan,"11,4",12,2,2008,"['_pengusahadetail(""?pm=a0oJ2WoGvcaq9rA0RXROvQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Zaini"")']"
 Warung Ari,Rumah Makan,"11,2",12,2,2008,"['_pengusahadetail(""?pm=CYBKxe4ZLJ2Te+Z0Mvmx0A==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Ari"")']"
 Kios Akhmad,Rumah Makan,14,12,2,2008,"['_pengusahadetail(""?pm=nTIZPH3eVCcn5mNgLtGNYQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Akhmad"")']"
 Kios Bariah,Rumah Makan,12,12,2,2008,"['_pengusahadetail(""?pm=aEOSarcaOopE3y8AnZw1wA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Bariah"")']"
 Kios Muslimah,Rumah Makan,"12,5",12,1,2008,"['_pengusahadetail(""?pm=xk8b7aY9dGhBiHQr7pnWjA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Muslimah"")']"
 Kios Yana,Rumah Makan,"10,75",12,1,2008,"['_pengusahadetail(""?pm=C7yy56fW5/FFbaq/Ys5Ojw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Yana"")']"
 Kios Aditya,Rumah Makan,"12,5",12,2,2008,"['_pengusahadetail(""?pm=cvKQ/9j/Fxvjlpjq/2Zkjw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Aditya"")']"
 Kios Eva,Rumah Makan,"12,5",12,1,2008,"['_pengusahadetail(""?pm=Gea2dEXEqi6gCFnuob9ADA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Eva"")']"
 Warung Ridho,Rumah Makan,"16,5",12,2,2008,"['_pengusahadetail(""?pm=a7ES+pxlbnzEoXYDENG4zQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Ridho"")']"
 Warung Erna,Rumah Makan,18,12,2,2008,"['_pengusahadetail(""?pm=juam+dFP2fTc1A+rkcsktw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Erna"")']"
 Toko Linda,Rumah Makan,"16,25",12,5,2008,"['_pengusahadetail(""?pm=AZWfvCnGaoJ3/Dkj0vqj9w==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Toko Linda"")']"
 Kios Rizki,Rumah Makan,20,12,4,2008,"['_pengusahadetail(""?pm=NfjkKlAJWUyPSrN6vhoO7g==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Rizki"")']"
 Toko Beras  Zaimah,Rumah Makan,"13,25",12,4,2008,"['_pengusahadetail(""?pm=uIKHcXGDMCtpUExM7bi3tQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Toko Beras  Zaimah"")']"
 Warung Nasi Goreng Embah,Nasi Goreng,47,12,2,2011,"['_pengusahadetail(""?pm=AHMwNdc/fGWn9UBrD8AxlQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Nasi Goreng Embah"")']"
 Kios Riza,Rumah Makan,22,12,2,2008,"['_pengusahadetail(""?pm=8jls8IB82FZvJxpZblSjXA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Riza"")']"
 Soto Lamongan,Soto Lamongan,"14,2",216,1,2011,"['_pengusahadetail(""?pm=iV/t2ijjpk03bkKP0yZHdA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Soto Lamongan"")']"
 RM Chicken Katsu,Rumah Makan Sate Kambing,"31,7",25,14,2008,"['_pengusahadetail(""?pm=7ldENF8W9Y3ud7/7ubzJfA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""RM Chicken Katsu"")']"
 Ira Furniture,Rumah Makan Tegal,1.073,150,4,2008,"['_pengusahadetail(""?pm=vnxFTT+mzFKB2URsYcXsnQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Ira Furniture"")']"
 Dagang Nasi Goreng,Nasi Goreng,"21,5",102,1,2011,"['_pengusahadetail(""?pm=5KEC7eyHwgsJZaJyV2zoZA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Dagang Nasi Goreng"")']"
 Warung Nasi Syafira,Rumah Makan sop iga,724,"32,25",5,2008,"['_pengusahadetail(""?pm=SCPC6J4VI7ikFOKs+zerPw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Nasi Syafira"")']"
 Ojolaly Bakso & Mie Ayam Ceker M 3,Dagang mie dan bakso,35,25,4,2008,"['_pengusahadetail(""?pm=Ab8IWkIw5JvzFCIOzAqvJQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Ojolaly Bakso & Mie Ayam Ceker M 3"")']"
 RM Minahasa Manado,Rumah Makan Manado,73,"52,5",6,2008,"['_pengusahadetail(""?pm=kBspIIZQ25xKVXsS1yrXvQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""RM Minahasa Manado"")']"
 Restoran & Seafood 99,Rumah Makan bakmi 99,35,"35,25",4,2008,"['_pengusahadetail(""?pm=GF5yUn1YWM1EtT/TNMW71w==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Restoran & Seafood 99"")']"
 Bakso Solo Baru 2,Bakso Solo Baru 2,34,76,1,2013,"['_pengusahadetail(""?pm=ggiai+6tjYznNsGM2ztbag==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Bakso Solo Baru 2"")']"
 Usaha Dagang Popcorn,Popcorn,"85,2",72,2,2009,"['_pengusahadetail(""?pm=RfnR0cs86HqCqiL2z1foTQ==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Usaha Dagang Popcorn"")']"
 Toko Ian,Makanan dan Minuman,331,162,1,2009,"['_pengusahadetail(""?pm=fHV8Om6acdBsOXsJU2E0nA==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Toko Ian"")']"
 Warung Ewink,Rumah Makan,"47,47",290,9,2008,"['_pengusahadetail(""?pm=iU5cO9nNTtgaXhznBksLgg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Ewink"")']"
 Kios & Phonesell Zahra,Rumah Makan,35,12,4,2008,"['_pengusahadetail(""?pm=mjc7/9FqanRfSG7VkTCciQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios & Phonesell Zahra"")']"
 Kios Syafa,Rumah Makan,32,12,3,2008,"['_pengusahadetail(""?pm=pTItGXPkPgDAIKf9C/Ovgw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Syafa"")']"
 Toko Alfian,Rumah Makan,18,12,2,2008,"['_pengusahadetail(""?pm=KeBuVGvO5NS1dkfiKUIeuQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Toko Alfian"")']"
 Kios Sumber Rezeki,Rumah Makan,"16,25",12,3,2008,"['_pengusahadetail(""?pm=0c+RuVmTCl3bRdVC0UxBmA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Kios Sumber Rezeki"")']"
 Warung Nasi Uswardi,Rumah Makan Sederhana,57,144,1,2008,"['_pengusahadetail(""?pm=cnH7j3o0na71Q02CUaqXpw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Nasi Uswardi"")']"
 PENGOLAHAN BAKSO IKAN,BAKSO IKAN,"1.008,5",1.050,11,2011,"['_pengusahadetail(""?pm=U4ZhOG0XBUs7Wjq1TkUzkw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""PENGOLAHAN BAKSO IKAN"")']"
 Bakso Joko Marino,Rumah Makan Bakso,"9,5",372,2,2008,"['_pengusahadetail(""?pm=rFGDmWxMlyWtn9FAqllDhA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Bakso Joko Marino"")']"
 Rumah Makan Ranah Minang,Rumah Makan,"18,4",378,3,2008,"['_pengusahadetail(""?pm=uL7HNRynDFJRk+x/T0IUew==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Rumah Makan Ranah Minang"")']"
 Rumah Makan Simpang Empat,Rumah Makan Ampera,"49,7",240,3,2008,"['_pengusahadetail(""?pm=u0lOMIlR+whxyW94nP0KpQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Rumah Makan Simpang Empat"")']"
 Saraso,Rumah Makan Soto,"50,3",396,3,2008,"['_pengusahadetail(""?pm=xhJyeag3SVHv+iEkXWwyOQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Saraso"")']"
" COTO MAKASSAR 88""",Rumah Makan,"166,2",198,3,2008,"['_pengusahadetail(""?pm=kdxnRBRqLhrJOsztrlkobA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""COTO MAKASSAR 88"""")']"
 Rumah Makan Jerry,Rumah Makan,136,379,7,2012,"['_pengusahadetail(""?pm=eyL5rp2GtS8pxmJ+svTabQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Rumah Makan Jerry"")']"
 Warung Makan Arfai Indah,Warung Makan,2.375,252,1,2012,"['_pengusahadetail(""?pm=JC1jS9SGYNxqn6kFuSEzbw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Warung Makan Arfai Indah"")']"
 Ampera Gumes ,Rumah Makan Ampera,"27,6",185,4,2008,"['_pengusahadetail(""?pm=gjwQ5ALtFg6DOZXHgIEWJw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Ampera Gumes "")']"
 Warung Pecel Mbah Jinah,Warung Makan Nasi Pecel,240,9,1,2012,"['_pengusahadetail(""?pm=lw4EdB0u6XTNMEexQ6VggQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Warung Pecel Mbah Jinah"")']"
 Brebes Berhias 72,Rumah Makan seafood,12,116,4,2008,"['_pengusahadetail(""?pm=RClCd24vo0/XtgXaket3Gg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Brebes Berhias 72"")']"
 Warung Soto ,Warung Makan,"6,5",51,0,2009,"['_pengusahadetail(""?pm=yvrZmRaHsgNRjZh7DnLzdA==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Warung Soto "")']"
 BAKSO CAK MIN,"BAKSO,NASI GORENG","451,73",252,4,2011,"['_pengusahadetail(""?pm=AHOxQm++9SYak2zEkMD3iA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""BAKSO CAK MIN"")']"
 Toko Benny,Warung Nasi,34,"37,5",1,2009,"['_pengusahadetail(""?pm=+KpUzGQcU/AA6wKbuS30ig==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Toko Benny"")']"
 Warung Makan Bu Yanti,Warung Makan ,"158,68",108,3,2009,"['_pengusahadetail(""?pm=x86xd48CN7Y55B+Vf7A7/g==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Warung Makan Bu Yanti"")']"
 Warung Soto Awisah,Dagang Soto,"8,7",6,1,2011,"['_pengusahadetail(""?pm=ZIxNdtTOt52ysXZqo18g+g==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Soto Awisah"")']"
 Mie Pangsit Uncu,Dagang Mie Pangsit,16,207,2,2011,"['_pengusahadetail(""?pm=iFnRXn/J70rMDlfelJPwRQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Mie Pangsit Uncu"")']"
 Kupat Tahu Keningan,Dagang Kupat Tahu,4,"43,5",1,2011,"['_pengusahadetail(""?pm=XTkST53/6w2ERnSxGrLGMg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Kupat Tahu Keningan"")']"
 Warung Bu Kadir,Rumah Makan,"15,63","99,7",2,2008,"['_pengusahadetail(""?pm=a79/gBpyKakgVgPhHPBiOQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Bu Kadir"")']"
 Kue Basah Hismayani,Kue Basah,0,0,2,2012,"['_pengusahadetail(""?pm=qeOeVWmAdQ7qIRpv3Gjk9w==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Kue Basah Hismayani"")']"
 Sate Tegal H Ridwan,Dagang sate Tegal,50,130,10,2008,"['_pengusahadetail(""?pm=zHLPItGK0oMRo29L0P7vaA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Sate Tegal H Ridwan"")']"
 RM Pondok Betawi,Dagang makanan dan minuman,67,600,15,2008,"['_pengusahadetail(""?pm=S6P1o7FG6oO9hjk4AXcRqQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""RM Pondok Betawi"")']"
 Warung Kopi & Indomie WB 1,Dagang makanan dan minuman,"61,5","22,5",2,2008,"['_pengusahadetail(""?pm=QT4rNJ10vSN7id5SXc7gDQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warung Kopi & Indomie WB 1"")']"
 Lacone The Cafe,Dagang makanan dan minuman,850,"22,25",3,2008,"['_pengusahadetail(""?pm=rO8DQjW09CpG5ZIeHzoyQw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Lacone The Cafe"")']"
 Cafe Takana Juo,Rumah Makan Mie Goreng,"58,5",252,5,2008,"['_pengusahadetail(""?pm=0viLjYiZODAhwJIF1CUDtA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Cafe Takana Juo"")']"
 BASO WAHYU,Baso Wahyu,15,248,2,2011,"['_pengusahadetail(""?pm=4bl9N00GyCglDjJev4rxQA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""BASO WAHYU"")']"
 Kantin Nyi Cola,Makanan,"36,25","252,72",1,2014,"['_pengusahadetail(""?pm=o3f0g4mDSSphlEiw0f6nzQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Kantin Nyi Cola"")']"
 Putra Mandiri,Nasi Goreng,27,54,1,2014,"['_pengusahadetail(""?pm=A0Hx7/iZRpYVtiLsou5EUw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Putra Mandiri"")']"
 Kedai Kopi Anugrah,Kedai Kopi,687,126,1,2015,"['_pengusahadetail(""?pm=W855N2kPEEhlhxhp/YmxXw==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Kedai Kopi Anugrah"")']"
 Rumah Makan Family,Rumah Makan,"185,5",76,4,2011,"['_pengusahadetail(""?pm=ygcH+VS4MNoKCIGbeQeU1g==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Rumah Makan Family"")']"
 Bakso Rahmad,Bakso,46,25,5,2009,"['_pengusahadetail(""?pm=gz84cFFlvFEHpRcsUv2ywA==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Bakso Rahmad"")']"
 Warung Kopi Mawar,Warung Minum,7,171,1,2013,"['_pengusahadetail(""?pm=zxa+kSKl+v9ByiQiahYUPQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Kopi Mawar"")']"
 Warung Makan Campursari,Warung Makan,6,110,2,2013,"['_pengusahadetail(""?pm=r7ZLzIQ0j/KV6xjtOeg5Eg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Makan Campursari"")']"
 Warung Ndeso,Warung Ndeso,93,192,4,2013,"['_pengusahadetail(""?pm=ThGjm4kPPOEKAY0CoKUCxQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Ndeso"")']"
 Lontong Tuyuhan,Warung Makan,10,185,3,2013,"['_pengusahadetail(""?pm=kWzK059bsWidQ4v2/gRxPA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Lontong Tuyuhan"")']"
 Lontong Tuyuhan,Warung Makan,253,537,2,2013,"['_pengusahadetail(""?pm=gFPCzeDk7X0rdv7xnj4/ew==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Lontong Tuyuhan"")']"
 Warung Putri,Warung Kelontong,"8,3","28,8",1,2014,"['_pengusahadetail(""?pm=dHubv3ipHzrZiwsIx14chA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Warung Putri"")']"
 Warung Ampera Tarana,Warung Ampera,10,"345,6",1,2014,"['_pengusahadetail(""?pm=u3PF8547zWfR1Dn49UYkEQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Warung Ampera Tarana"")']"
 Warung Nasi Bukde,Warung Nasi,6,216,1,2014,"['_pengusahadetail(""?pm=ySir6VELo1L2aaPj2BYDAw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Warung Nasi Bukde"")']"
 Rumah Makan Salero Basamo,Tempat Makan,84,120,3,2014,"['_pengusahadetail(""?pm=UYiNXvteRnOfn8uCRSkMuQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Rumah Makan Salero Basamo"")']"
 Bubur Ayam Dan Miswan Budi,Bubur Ayam Dan Miswan,"9,5",75,2,2014,"['_pengusahadetail(""?pm=I6KESi94Y+Ghj9J/Esxd/g==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Bubur Ayam Dan Miswan Budi"")']"
 Warung Sa-Tex,Warung Makan,35,"12,15",1,2015,"['_pengusahadetail(""?pm=MFpId78pYLLC+DVms7ioZg==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Warung Sa-Tex"")']"
 Warung Sate,Warung Makan,35,"12,15",1,2015,"['_pengusahadetail(""?pm=0LsEsu9/CDbnqW+Hm+xo6A==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Warung Sate"")']"
 Depot Bu Joko,Warung Makan,"231,8",204,2,2015,"['_pengusahadetail(""?pm=wDnMdX+hAOc3GRFMlk+mog==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Depot Bu Joko"")']"
 Toko Klontongan Suharto,Toko Klontongan,"40,25","7,2",3,2015,"['_pengusahadetail(""?pm=dQVfCM2baUyU2f4GWCR1yw==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Toko Klontongan Suharto"")']"
 Bakso Dan Mie Ayam Dini,Bakso & Mie Ayam,23,60,1,2016,"['_pengusahadetail(""?pm=yuDcOwtJI93rz50/EiqHGQ==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Bakso Dan Mie Ayam Dini"")']"
 Prasojo 2,Ayam Bakar & Ikan Bakar,17,48,1,2016,"['_pengusahadetail(""?pm=WddQQ9iDR85BCrbWZ/QsNQ==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Prasojo 2"")']"
 Teh 2 Daun,Teh 2 Daun,"3,8",120,1,2016,"['_pengusahadetail(""?pm=MFkC5IDg07HFP1YndI5s3g==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Teh 2 Daun"")']"
 Hisana Fried Chicken,Ayam Goreng,"3,35",120,1,2016,"['_pengusahadetail(""?pm=Cu4UG9WplokXuVFHRnbdBA==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Hisana Fried Chicken"")']"
 Takasimura,Tahu Bakso,"34,93",60,4,2016,"['_pengusahadetail(""?pm=kyLfdIPby4Rw7d7J8nl4eA==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Takasimura"")']"
 Kos-Kosan H. Andi,Kos-Kosan,"333,6",300,1,2016,"['_pengusahadetail(""?pm=lEfXbtXco46hZTVxUJbUjw==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Kos-Kosan H. Andi"")']"
 Narti Coffe,Coffe,"7,19",24,1,2016,"['_pengusahadetail(""?pm=Swqbd1EUw4r0Ih72BMnhZA==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Narti Coffe"")']"
 Warung Ria,Menjual Minuman Dan Snack,70,216,1,2015,"['_pengusahadetail(""?pm=3+0lXiH4QtfgwPIsAFRoiQ==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Warung Ria"")']"
