Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Sol Sepatu,"1,22","71,76",1,2014,?pm=gDb492w+U/CjmBFT2JtSUA==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 1,22 Juta","Rp. 71,76 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 300,00 Juta",3
Jasa Service Komputer,"13,55","28,8",5,2014,?pm=wv1+PlYHzkBamGB1mfkFsg==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,5,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Sedang,"Rp. 13,55 Juta","Rp. 28,80 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 5,00 Juta",3
Jasa Pembuatan Etalase,28,120,1,2014,?pm=XMQMtfQnh9OjEjsoId3AMw==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   85,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   15,00 %",Rendah,"Rp. 28,00 Juta","Rp. 120,00 Juta",- %/Tahun,"Rp. 7,00 Juta","Rp. 5,00 Juta",4
Penjahit Dan Fermak Pakaian,208,8,1,2014,?pm=a6NXi+9DpF47UYm7AvmMsQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 208,00 Juta","Rp. 8,00 Juta",- %/Tahun,"Rp. 4,00 Juta","Rp. 204,00 Juta",5
Pelestarian Fauna,265,270,2,2014,?pm=ZpaIpjAV7gV/wRNr9MA35A==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 265,00 Juta","Rp. 270,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 258,00 Juta",5
Bengkel,80,"42,5",3,2014,?pm=yplgZswoXdBj22jPorW41g==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 80,00 Juta","Rp. 42,50 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 50,00 Juta",3
Menjahit,202,158,1,2014,?pm=gI33EEjan93t754UPlVvxg==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %",Sedang,"Rp. 202,00 Juta","Rp. 158,00 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 132,00 Juta",7
Pangkas Rambut,"10,5",72,1,2015,?pm=imApgu2NodW18qaKw005uA==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %",Sedang,"Rp. 10,50 Juta","Rp. 72,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 10,00 Juta",4
Tambal Ban,183,20,0,2012,?pm=GdNAhAmFdYxOE/2xlzy+Rw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 183,00 Juta","Rp. 20,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 170,00 Juta",6
Tambal Ban,134,30,0,2012,?pm=7LihOmusTnrIIL89uDzWjA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 134,00 Juta","Rp. 30,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 40,00 Juta",6
Tambal Ban,93,30,0,2012,?pm=0yTVQwvrPimS3PFPxCgauA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 93,00 Juta","Rp. 30,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 30,00 Juta",7
LOUNDRY,61,140,2,2011,?pm=r3sAnlKf6mLuxpmlwx1v5A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 61,00 Juta","Rp. 140,00 Juta",18 %/Tahun,"Rp. 10,00 Juta","Rp. 75,00 Juta",4
Menjahit Pakaian,135,"7,33",2,2009,?pm=+LDn7T8koHAA71pWaOa6Hg==&mp=2BbfzMJpZb2nANZ3GT30ng==,Kegiatan Jasa Lainnya,Perorangan,2,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   2,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   98,00 %",Sedang,"Rp. 135,00 Juta","Rp. 7,33 Juta",20 %/Tahun,"Rp. 8,00 Juta","Rp. 125,00 Juta",6
Salon,"112,5","93,6",4,2012,?pm=6jZiIFKrf/sot/8b6ZnePw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,4,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 112,50 Juta","Rp. 93,60 Juta",15 %/Tahun,"Rp. 10,00 Juta","Rp. 98,00 Juta",4
Service Electronik,"16,74",49,1,2014,?pm=cz2HLf4NCDJs7Ke9ELattQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 16,74 Juta","Rp. 49,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 6,00 Juta",3
Jasa-jasa,"423,3",160,4,2011,?pm=9QC9KIQsauETtW4dgps6eQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,,,,"   0,00 %","   0,00 %",,"Rp. 0,00 Juta","Rp. 0,00 Juta", %/Tahun,"Rp. 0,00 Juta","Rp. 0,00 Juta",
SALON,"55,5",18,2,2010,?pm=oKTExik1ebI+dV1U3AOJ/w==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Tinggi,"Rp. 55,50 Juta","Rp. 18,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 55,00 Juta",1
Sablon,21,18,1,2015,?pm=O4lwXkj5WHCLDlBgGh3nfg==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Rendah,"Rp. 21,00 Juta","Rp. 18,00 Juta",- %/Tahun,"Rp. 6,40 Juta","Rp. 10,00 Juta",4
Pakaian,24,60,1,2015,?pm=6BjsA8x9tZNDq/6R2dncig==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Sedang,"Rp. 24,00 Juta","Rp. 60,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 8,00 Juta",4
Jasa Perbengkelan,355,2.400,0,2011,?pm=fceXHFfdymD4wvfagGvzzg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,,,,"   0,00 %","   0,00 %",,"Rp. 0,00 Juta","Rp. 0,00 Juta", %/Tahun,"Rp. 0,00 Juta","Rp. 0,00 Juta",
Pencucian Motor,"9,7",50,3,2014,?pm=W3MnnDtZ/zhHzB2wfZIjMg==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 9,70 Juta","Rp. 50,00 Juta",- %/Tahun,"Rp. 3,00 Juta","Rp. 1,70 Juta",2
Penjahit,"32,7",54,1,2014,?pm=LFEOlVBmoj6wJTweZYJasA==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 32,70 Juta","Rp. 54,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 14,00 Juta",4
Gas Assembling Installation Technique,"1.941,75",70,3,2014,?pm=j8+hcKPpn/KtHvEDJ6ufBQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 1.941,75 Juta","Rp. 70,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 10,00 Juta",6
Fashion,69,25,3,2015,?pm=WFmcwrmToyTKKeBOT3l/cg==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 69,00 Juta","Rp. 25,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 6,00 Juta",5
Konveksi,573,24,2,2016,?pm=ohxQoSe07toWsmT6g6MH/g==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 573,00 Juta","Rp. 24,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 560,00 Juta",1
Kerajinan Tangan,180,48,10,2016,?pm=gXu0q3pUB7m+KrC64+S+rw==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya,Perorangan,10,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Rendah,"Rp. 180,00 Juta","Rp. 48,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 150,00 Juta",1
Konveksi,17,48,3,2016,?pm=ZAZ9bVF0kXU6tUzQioi7Gg==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya,Perorangan,3,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 17,00 Juta","Rp. 48,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 5,00 Juta",1
Bensin,"60,61","60,48",2,2015,?pm=osUtUBkoFJKU5qBvhrBKsQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 60,61 Juta","Rp. 60,48 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 50,00 Juta",5
Penitipan Motor,"10,2",180,1,2016,?pm=10DtbCV1I756BMTokwamdA==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 10,20 Juta","Rp. 180,00 Juta",- %/Tahun,"Rp. 4,50 Juta","Rp. 10,00 Juta",5
Penjahit,51,72,1,2015,?pm=ofqWwloV06ajNrIZCJrUVg==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %",Sedang,"Rp. 51,00 Juta","Rp. 72,00 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 106,00 Juta",6
Paket Barang,75,24,2,2016,?pm=4xTOpHvhTTwVUdZvdtKxaw==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 75,00 Juta","Rp. 24,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 52,00 Juta",3
Bengkel,1.415,720,3,2016,?pm=epDnQfmCHXnSXnoqgkQc2w==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   95,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   5,00 %",Sedang,"Rp. 1.415,00 Juta","Rp. 720,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 14,00 Juta",2
Perdagangan Pulsa,"16,36","16,8",1,2015,?pm=ovIPTr0IzPNfks/WuV91IQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 16,36 Juta","Rp. 16,80 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",5
Es Kelapa,"21,08","33,75",1,2015,?pm=DTIxaHoCNhOYxtEjfP6aCQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 21,08 Juta","Rp. 33,75 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 0,00 Juta",3
Perdagangan,22,15,2,2015,?pm=dMyUzlH3aDUWaxOmlE5d6w==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   50,00 %",Sedang,"Rp. 22,00 Juta","Rp. 15,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",3
Service Elektronik,121,72,2,2014,?pm=ab34mfxujUB2gyEFORonJQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 121,00 Juta","Rp. 72,00 Juta",- %/Tahun,"Rp. 8,28 Juta","Rp. 7,00 Juta",5
Penjahit Pakaian,18,104,1,2014,?pm=s1QnUf+MeP6xP8CFkhSBvw==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 18,00 Juta","Rp. 104,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 16,00 Juta",4
Penjahit Pakaian,"4,5",54,1,2014,?pm=HEfCDmvB8xrU9hUU3USrkQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 4,50 Juta","Rp. 54,00 Juta",- %/Tahun,"Rp. 6,00 Juta","Rp. 88,00 Juta",5
Jasa Pangkas Rambut,39,70,1,2014,?pm=BH2KZEGu7Ayvnso0w1cB5g==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 39,00 Juta","Rp. 70,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 35,00 Juta",4
Pencucian Motor,"13,2",40,1,2014,?pm=xJIOwVLFJhZKSot8mKNy+g==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 13,20 Juta","Rp. 40,00 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 13,00 Juta",3
Penjahit,200,18,1,2014,?pm=bNUNFFsvh4dCJjGEAyFkmA==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   10,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   90,00 %",Sedang,"Rp. 200,00 Juta","Rp. 18,00 Juta",- %/Tahun,"Rp. 6,00 Juta","Rp. 185,00 Juta",5
Jasa,"26,2","18,2",1,2018,?pm=wsB8Sr5xY/ClVnT2zcc6GQ==&mp=tFF9KAXBbci/UefzhiAg3g==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 26,20 Juta","Rp. 18,20 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 2.010,00 Juta",4
Service Laptop,"35,5",20,1,2016,?pm=NXEBwkDd3YLe2kQ4JQE77w==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Tinggi,"Rp. 35,50 Juta","Rp. 20,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 110,00 Juta",6
Penjahit,355,810,2,2016,?pm=W/RGCDUDVOE52MC7Epbj8A==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Tinggi,"Rp. 355,00 Juta","Rp. 810,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 320,00 Juta",1
 Penjahit,506,180,3,2014,?pm=6+5rcITVmNfmsNpCmTpx2Q==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,3,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %",Sedang,"Rp. 506,00 Juta","Rp. 180,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 482,00 Juta",8
Menjahit Pakaian,"17,5",162,3,2014,?pm=7r4UPidT46Vd98NkFqgNMQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 17,50 Juta","Rp. 162,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 160,00 Juta",5
Jasa Salon,21,36,1,2014,?pm=nR0Az0TGIpZ6JpJfW+doZg==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 21,00 Juta","Rp. 36,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 109,00 Juta",5
Jasa Salon,"13,35",18,1,2014,?pm=Kv+UsbvzcVNa5urtEInnEQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 13,35 Juta","Rp. 18,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 5,00 Juta",4
Salon,"4,8",36,1,2014,?pm=LYlJKzA5i2Qpy4qRfpWLMQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 4,80 Juta","Rp. 36,00 Juta",- %/Tahun,"Rp. 2,50 Juta","Rp. 2,00 Juta",4
Menjahit,"37,4",9,2,2014,?pm=2ljGy7plSOJ2gCCLMV2ysQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %",Tinggi,"Rp. 37,40 Juta","Rp. 9,00 Juta",- %/Tahun,"Rp. 4,25 Juta","Rp. 4,00 Juta",4
